id,intakereason,animalname,breedname,basecolour,speciesname,animalage,sexname,movementtype,intakedate,movementdate,Time take to move out
47771,Abandoned,Chica,Rat Terrier/Beagle,Tricolour,Dog,8 years 8 months.,Female,Adoption,27/Mar/17,19/May/17,53.00
47771,Abandoned,Chica,Rat Terrier/Beagle,Tricolour,Dog,8 years 8 months.,Female,Adoption,28/Mar/17,29/Apr/17,32.00
55297,Owner Died,Batman,Domestic Short Hair,Black and White,Cat,11 years 7 months.,Male,Adoption,,,
55297,Owner Died,Batman,Domestic Short Hair,Black and White,Cat,11 years 7 months.,Male,Adoption,,,
55297,Owner Died,Batman,Domestic Short Hair,Black and White,Cat,11 years 7 months.,Male,Adoption,,,
55298,Stray,Marcus Antonius,Domestic Long Hair,Golden,Cat,3 years 7 months.,Male,Adoption,,,
55299,Stray,Grasshopper,Domestic Short Hair,Tortie,Cat,5 years 7 months.,Female,Foster,,,
55299,Stray,Grasshopper,Domestic Short Hair,Tortie,Cat,5 years 7 months.,Female,Foster,,,
55299,Stray,Grasshopper,Domestic Short Hair,Tortie,Cat,5 years 7 months.,Female,Adoption,,,
55300,TNR - Trap/Neuter/Release,Jay Jay,Domestic Short Hair,Orange,Cat,2 years 7 months.,Male,Adoption,,,
55301,Stray,Ginger Zee,Domestic Short Hair,Orange,Cat,3 years 2 months.,Female,Adoption,,,
55301,Stray,Ginger Zee,Domestic Short Hair,Orange,Cat,3 years 2 months.,Female,Adoption,,,
55301,Stray,Ginger Zee,Domestic Short Hair,Orange,Cat,3 years 2 months.,Female,Adoption,,,
55302,Unable to Afford,Quincy,Chihuahua/Yorkshire Terrier,Brown and Black,Dog,1 year 9 months.,Male,Foster,28/Mar/17,19/Apr/17,22.00
55302,Unable to Afford,Quincy,Chihuahua/Yorkshire Terrier,Brown and Black,Dog,1 year 9 months.,Male,Foster,28/Mar/17,3/May/17,36.00
55302,Unable to Afford,Quincy,Chihuahua/Yorkshire Terrier,Brown and Black,Dog,1 year 9 months.,Male,Foster,28/Mar/17,25/May/17,58.00
55302,Unable to Afford,Quincy,Chihuahua/Yorkshire Terrier,Brown and Black,Dog,1 year 9 months.,Male,Adoption,28/Mar/17,4/Apr/17,7.00
55303,Unsuitable Accommodation,Binks,Domestic Short Hair,Black,Cat,3 years 8 months.,Male,Foster,,,
